taskset -c 0 python3 loop.py &
-> loop.py 프로그램을 0번 process에서 실행.

Linux 6.2.0-1011-aws (ip-172-31-18-211) 	09/13/23 	_x86_64_	(8 CPU)

11:37:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:43        all     12.50      0.00      0.00      0.00      0.00     87.50
11:37:43          0    100.00      0.00      0.00      0.00      0.00      0.00
11:37:43          1      0.00      0.00      0.00      0.00      0.00    100.00
11:37:43          2      0.00      0.00      0.00      0.00      0.00    100.00
11:37:43          3      0.00      0.00      0.00      0.00      0.00    100.00
11:37:43          4      0.00      0.00      0.00      0.00      0.00    100.00
11:37:43          5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:43          6      0.00      0.00      0.00      0.00      0.00    100.00
11:37:43          7      0.00      0.00      0.00      0.00      0.00    100.00

11:37:43        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:44        all     12.52      0.00      0.00      0.00      0.00     87.48
11:37:44          0    100.00      0.00      0.00      0.00      0.00      0.00
11:37:44          1      0.00      0.00      0.00      0.00      0.00    100.00
11:37:44          2      0.00      0.00      0.00      0.00      0.00    100.00
11:37:44          3      0.00      0.00      0.00      0.00      0.00    100.00
11:37:44          4      0.00      0.00      0.00      0.00      0.00    100.00
11:37:44          5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:44          6      0.00      0.00      0.00      0.00      0.00    100.00
11:37:44          7      0.00      0.00      0.00      0.00      0.00    100.00

11:37:44        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:45        all     12.50      0.00      0.00      0.00      0.00     87.50
11:37:45          0    100.00      0.00      0.00      0.00      0.00      0.00
11:37:45          1      0.00      0.00      0.00      0.00      0.00    100.00
11:37:45          2      0.00      0.00      0.00      0.00      0.00    100.00
11:37:45          3      0.00      0.00      0.00      0.00      0.00    100.00
11:37:45          4      0.00      0.00      0.00      0.00      0.00    100.00
11:37:45          5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:45          6      0.00      0.00      0.00      0.00      0.00    100.00
11:37:45          7      0.00      0.00      0.00      0.00      0.00    100.00

11:37:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:46        all     12.50      0.00      0.00      0.00      0.00     87.50
11:37:46          0    100.00      0.00      0.00      0.00      0.00      0.00
11:37:46          1      0.00      0.00      0.00      0.00      0.00    100.00
11:37:46          2      0.00      0.00      0.00      0.00      0.00    100.00
11:37:46          3      0.00      0.00      0.00      0.00      0.00    100.00
11:37:46          4      0.00      0.00      0.00      0.00      0.00    100.00
11:37:46          5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:46          6      0.00      0.00      0.00      0.00      0.00    100.00
11:37:46          7      0.00      0.00      0.00      0.00      0.00    100.00

11:37:46        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:47        all     12.50      0.00      0.00      0.00      0.00     87.50
11:37:47          0    100.00      0.00      0.00      0.00      0.00      0.00
11:37:47          1      0.00      0.00      0.00      0.00      0.00    100.00
11:37:47          2      0.00      0.00      0.00      0.00      0.00    100.00
11:37:47          3      0.00      0.00      0.00      0.00      0.00    100.00
11:37:47          4      0.00      0.00      0.00      0.00      0.00    100.00
11:37:47          5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:47          6      0.00      0.00      0.00      0.00      0.00    100.00
11:37:47          7      0.00      0.00      0.00      0.00      0.00    100.00

11:37:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
